label,number_of_sections,entry_point,dll_characteristics,Check_for_Debugger,manipulate_user_auth,can_download_execute_components,C2_indicator,ConventionEngine_indicator,contain_crypto_address,suspicious_imphash,is_packed,ransomware_command_indicator,suspicious_technique_indicator,can_access_network_share,contain_tor_link,ransomware_string_indicator,use_security_base_api,manipulates_system_shell,cmd_powershell_usage_indicator,suspicious_entropy_and_indicator,use_win_base_api,files_directories_manipulation,retrieves_account_information,using_encryption_library,use_http_services,supports_windows_networking,can_create_process_and_threads,can_manipulate_windows_registry,can_send_receive_data,can_manipulate_windows_services,performs_gui_actions,yaraify_indicator,yara_match_count,unique_section_names,max_entropy,min_entropy,mean_entropy,SectionsMinRawsize,SectionMaxRawsize,SectionsMeanRawsize,SectionsMinVirtualsize,SectionMaxVirtualsize,SectionsMeanVirtualsize,chi2_max,chi2_min,chi2_mean,chi2_global,imported_dll_count,imported_function_count,exported_function_count
ransomware,15,423008,33120,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,20,11,7.996873258339912,0.6138392741996215,6.080735729649197,512,1118720,211660.8,34,1118469,226388.13333333333,35516200.22193082,816.7714285714276,3855660.505710551,32931363.68893899,1,40,0
ransomware,4,4488,33088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4,1,6.658356358170621,4.610537083745544,5.613097713583477,2560,24576,8576.0,2418,24478,8333.25,352048.54166667006,76013.00000000015,153785.13541666736,618064.9420289851,5,54,0
ransomware,5,25129,33088,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,16,1,6.648681761101278,4.597444138632,5.540177307620089,512,80896,28262.4,480,80868,29729.2,1465327.759259254,9294.0,506177.0730746836,1305567.7194244566,9,173,0
ransomware,5,54768,32768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,11,1,7.994562199139199,0.0,4.806940487043688,512,599552,169472.0,5,756072,200442.6,1985258.2027397268,6454.962425277539,915024.506002188,1237156.8280024135,4,176,0
ransomware,7,34484,33120,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,24,3,6.180304267327168,0.0611628522411544,2.0210373050479284,512,91136,30281.14285714286,168,2831152,424457.1428571429,9945061.855072487,127005.0,2144838.9981010915,702248903.1662682,0,0,0
ransomware,5,12779,33024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,9,1,7.853608098789088,3.581952272872551,5.822297839675906,5120,75264,33996.8,4644,350528,88800.0,1252376.566037734,35693.6,417970.9658802912,1050262.0688622764,4,84,0
ransomware,5,25840,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,9,2,7.953638552652912,0.0,4.28700162015428,0,30208,8294.4,664,80548,24112.2,207788.67796610072,0.0,91577.7026261872,325410.1084337362,6,114,0
ransomware,5,43968,34112,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,10,1,5.632026970694436,0.1144633812591388,4.010746532189683,512,74752,15974.4,8,74281,15669.4,1431613.5342465765,18944.0,337001.52018264856,1657269.0379746822,7,80,0
ransomware,5,3587084,33120,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,21,2,6.4182462870283965,2.375928556954518,5.178976274135236,12800,3656704,1096601.6,13072,3656511,1096509.4,57860741.503158525,141304.9387755103,19199498.461230915,77545310.98412839,18,186,0
ransomware,3,786320,33024,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,9,1,6.790563127912042,4.126180505266327,5.836797085173703,512,917504,327168.0,470,917091,338644.3333333333,6052923.693080357,23719.0,2192418.6476934524,6045270.063574776,5,9,0
ransomware,3,43472,34048,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,7.982634624207218,5.965306229244432,7.244327155612313,10240,43008,31232.0,9782,43733,31162.666666666668,313504.36708860745,1529.3452380952408,108619.57077556755,184680.95675675664,1,9,0
ransomware,5,176704,33088,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,19,2,6.690722886537073,0.0,3.3385795417851147,2560,78848,32870.4,5252,78648,34017.8,4631766.889610383,252912.4,1632724.4035103112,5938311.392997286,7,119,0
