label,number_of_sections,entry_point,dll_characteristics,contain_crypto_address,is_packed,ransomware_command_indicator,suspicious_technique_indicator,contain_tor_link,using_encryption_library,ransomware_string_indicator,suspicious_entropy_and_indicator,Check_for_Debugger,yara_match_count,is_signed,is_cert_valid,unique_section_names,max_entropy,min_entropy,mean_entropy,SectionsMinRawsize,SectionMaxRawsize,SectionsMeanRawsize,SectionsMinVirtualsize,SectionMaxVirtualsize,SectionsMeanVirtualsize,imported_dll_count,imported_function_count,exported_function_count,blint_guard_cf,blint_high_entropy_va,blint_no_bind,blint_no_seh,blint_nx_compat
ransomware,7,313928,33120,0,0,1,0,1,1,1,0,1,6,0,0,3,6.488151360731739,3.371985068881099,4.990132119414836,512,528896,104667.42857142857,348,528700,105666.0,7,150,0,0,1,0,0,1
ransomware,3,195440,33088,0,1,0,0,0,0,0,1,0,4,0,0,3,7.906207653043127,0.0,3.877240507618984,0,69632,23381.33333333333,4096,122880,65536.0,7,10,0,0,0,0,0,1
ransomware,6,317180,0,0,0,0,0,0,0,0,1,1,3,0,0,4,6.350696174899161,0.0,3.0225961356476763,0,313344,61610.66666666666,6072,313172,64620.16666666666,0,0,0,0,0,0,0,0
ransomware,3,43472,34048,0,0,0,0,0,0,0,0,0,0,0,0,1,7.981009315562882,5.965306229244432,7.243785386064201,10240,43008,31232.0,9782,43733,31162.666666666668,1,9,0,0,0,0,1,1
ransomware,3,12434,34112,0,0,0,0,0,0,0,1,0,1,0,0,0,7.880843669028706,0.0776331623432416,3.496342022826056,512,37376,12970.666666666666,12,36896,12574.666666666666,1,1,0,0,0,0,1,1
ransomware,6,16960,50240,0,0,0,0,0,1,0,0,0,1,0,0,2,6.485024435629731,0.203681906087329,4.514328419300029,512,33792,9130.666666666666,480,33391,9240.5,6,110,0,1,0,0,1,0
ransomware,9,5360,0,1,0,0,0,0,1,0,0,0,2,0,0,4,6.230022968617695,0.0,3.331540047702018,0,2072576,301795.5555555556,16,2072488,303234.6666666667,3,169,0,0,0,0,0,0
ransomware,3,1451230,34144,0,0,1,1,0,1,0,1,0,4,0,0,0,7.6456271616743825,0.1019104256627077,4.290288407124267,512,1443328,482816.0,12,1443052,482548.0,1,1,0,0,1,0,1,1
ransomware,11,251344,0,0,0,1,1,0,1,0,0,0,3,0,0,5,7.827818566900217,0.0,4.021892873894787,0,245760,31790.545454545456,20,245292,33873.27272727273,10,142,2,0,0,0,0,0
ransomware,3,43472,34048,0,0,0,0,0,0,0,0,0,0,0,0,1,7.980354046596413,5.965306229244432,7.243566963075378,10240,43008,31232.0,9782,43733,31162.666666666668,1,9,0,0,0,0,1,1
ransomware,11,337264,0,0,0,1,1,0,1,0,0,0,3,0,0,5,7.825119293715,0.0,3.5996184831928404,0,363520,45195.63636363636,109,363316,49321.09090909091,10,143,2,0,0,0,0,0
ransomware,4,11920,33024,0,0,0,0,0,1,0,1,1,7,1,0,1,7.163705041459519,2.024683505715815,4.847807804833509,10752,224256,75648.0,29976,223889,123408.75,3,98,1,0,0,0,0,1
ransomware,2,0,34144,0,1,0,0,0,1,0,1,0,3,1,0,0,6.130148382598402,5.027506161240411,5.578827271919407,26112,90624,58368.0,26096,90264,58180.0,0,0,0,0,1,0,1,1
ransomware,6,378600,0,0,0,0,0,0,1,0,1,1,6,0,0,4,6.807036771785958,0.0,5.028329364937148,0,374784,72618.66666666667,3585,374592,73116.5,0,0,0,0,0,0,0,0
ransomware,6,12093,33344,0,0,0,0,0,0,0,0,1,3,0,0,2,7.99891315767757,2.300178636703694,5.548991052849754,3072,175616,74837.33333333333,6000,175316,75541.16666666667,1,65,0,0,0,0,0,0
ransomware,1,40736,33280,0,0,0,0,0,1,0,0,1,3,0,0,1,6.095860997049067,6.095860997049067,6.095860997049067,54272,54272,54272.0,54104,54104,54104.0,5,64,0,0,0,0,0,0
ransomware,5,15232,33088,0,0,0,0,0,1,0,1,1,3,0,0,1,6.388564488104941,0.7621273270964644,4.801485745117125,512,89088,22425.6,900,88704,22349.0,7,92,0,0,0,0,0,1
ransomware,10,5360,352,1,0,0,0,0,1,0,0,1,4,0,0,4,6.255572430316509,0.0,3.3666868031461297,0,351744,41216.0,16,351464,41259.2,6,132,0,0,1,0,0,1
ransomware,6,109828,33120,0,0,1,0,1,1,1,0,1,6,0,0,3,6.554705414547306,2.4524994986336286,4.609281419640976,512,220160,58880.0,252,219976,63242.333333333336,9,193,0,0,1,0,0,1
ransomware,4,43223,0,0,0,0,0,0,0,0,1,0,1,0,0,1,7.813923857717711,4.639698222820729,6.409494595890363,13824,300544,98816.0,13676,300320,98616.75,5,68,0,0,0,0,0,0
ransomware,5,431696,49472,0,0,0,0,0,1,0,0,1,4,0,0,1,6.5821572848243415,4.7176788329467545,5.570051796866028,512,711680,193945.6,480,711226,195770.8,2,139,0,1,0,0,0,1
ransomware,1,4247,352,0,0,0,0,0,0,0,1,0,1,0,0,0,7.888620964795726,7.888620964795726,7.888620964795726,38912,38912,38912.0,0,0,0.0,0,0,0,0,1,0,0,1
ransomware,6,115712,49504,0,0,0,0,0,1,0,1,0,2,1,0,2,6.660019469823384,2.649541268770361,4.890697276288436,1024,136704,56917.333333333336,884,136280,57343.0,51,229,0,1,1,0,0,1
ransomware,5,5939,32768,0,0,0,0,0,1,0,1,1,4,0,0,1,7.465368906379247,3.9769125235700313,5.789682595036717,512,32768,11637.2,1608,32427,11687.8,7,129,0,0,0,0,0,0
ransomware,7,45484,33120,0,0,0,0,0,1,0,1,1,3,1,0,2,6.556353020546736,0.0,3.764931396574255,512,317952,110957.71428571428,2,317548,110585.42857142857,5,146,0,0,1,0,0,1
ransomware,5,424722,320,1,0,0,0,1,1,1,0,1,7,0,0,1,6.696735010547304,4.48960526938225,5.568840692312256,512,640512,171520.0,480,640268,173255.2,4,111,1,0,0,0,0,1
ransomware,6,31100,33120,0,0,0,0,0,0,0,1,1,2,1,0,2,6.985601724246722,2.91327982808816,4.892186516214587,2048,72704,27989.33333333333,1556,851672,168561.66666666666,6,162,0,0,1,0,0,1
ransomware,4,109508,0,0,0,0,0,0,0,0,1,1,3,1,0,1,6.632626379099484,3.670859882044137,5.530943800182207,4096,106496,37888.0,3864,106054,52970.5,11,100,0,0,0,0,0,0
ransomware,3,43472,34048,0,0,0,0,0,0,0,1,0,1,0,0,1,7.983011083943718,5.965306229244432,7.244452642191146,10240,43008,31232.0,9782,43733,31162.666666666668,1,9,0,0,0,0,1,1
ransomware,5,135293,320,0,0,0,1,0,1,0,0,1,7,0,0,1,7.59343098685053,4.7790874807546855,6.084091873581302,512,212992,76185.6,488,212492,76752.4,12,195,3,0,0,0,0,1
ransomware,5,26624,1024,0,0,0,0,0,1,0,0,0,1,0,0,2,7.972787729894258,0.0,4.359548498424205,0,32768,9830.4,760,82620,26218.2,8,132,0,0,0,0,1,0
ransomware,3,43472,34048,0,0,0,0,0,0,0,0,0,0,0,0,1,7.982809422774415,5.965306229244432,7.244385421801379,10240,43008,31232.0,9782,43733,31162.666666666668,1,9,0,0,0,0,1,1
ransomware,4,880822,33024,0,0,0,0,0,1,0,1,1,8,0,0,3,7.982249060650438,3.190839418361515,5.8707873887234925,2560,792064,223232.0,4096,794624,224256.0,10,83,0,0,0,0,0,1
ransomware,4,73332,32768,0,0,0,0,0,1,0,0,1,5,0,0,1,7.860106950762645,4.114630458601964,5.905886351428446,9216,237056,110976.0,24440,236999,114627.0,7,236,0,0,0,0,0,0
ransomware,4,39446,0,1,0,0,0,0,1,0,1,1,7,0,0,1,6.1345234015658825,3.503615586181224,5.321768820355122,4096,3518464,929792.0,2456,3515476,1679508.5,7,91,0,0,0,0,0,0
ransomware,8,1303648,0,0,1,0,0,0,1,0,0,1,3,0,0,5,6.718509282923104,0.0,3.76406386038468,0,1299968,203584.0,24,1299624,203936.125,18,430,0,0,0,0,0,0
ransomware,3,43472,34048,0,0,0,0,0,0,0,0,0,0,0,0,1,7.9806780738785585,5.965306229244432,7.243674972169426,10240,43008,31232.0,9782,43733,31162.666666666668,1,9,0,0,0,0,1,1
ransomware,3,43472,34048,0,0,0,0,0,0,0,0,0,0,0,0,1,7.98210038151834,5.965306229244432,7.24414907471602,10240,43008,31232.0,9782,43733,31162.666666666668,1,9,0,0,0,0,1,1
ransomware,6,12068,32864,0,0,1,0,1,1,1,0,0,4,0,0,3,6.263053772126814,0.0,3.4794309490669533,0,41984,15957.333333333334,48,43408,16055.0,6,72,0,0,1,0,0,0
ransomware,3,1200032,33120,0,0,0,0,0,0,0,1,0,1,0,0,1,2.0833892973563795,1.6038327605259324,1.861236480325091,512,940544,330240.0,4096,1146880,401408.0,0,0,0,0,1,0,0,1
ransomware,11,251344,0,0,0,1,1,0,1,0,0,0,3,0,0,5,7.827818566900217,0.0,4.021892300805153,0,245760,31790.545454545456,20,245292,33873.27272727273,10,142,2,0,0,0,0,0
ransomware,5,77284,33088,0,0,0,0,0,1,0,1,1,5,0,0,1,6.715453396136809,4.7176788329467545,5.743307981091648,512,161280,45568.0,480,160789,47613.4,7,134,0,0,0,0,0,1
ransomware,8,299951,33088,0,0,0,0,0,1,0,0,1,4,0,0,2,6.664443164570187,0.0203931352360849,4.750325054681008,512,443904,83456.0,9,443412,85079.125,6,156,0,0,0,0,0,1
ransomware,5,210941,33088,0,0,0,0,0,1,0,0,1,4,0,0,1,6.656678883301473,4.1282184989490585,5.440551718326648,512,636928,165171.2,480,636474,166830.0,6,145,0,0,0,0,0,1
ransomware,9,202456,320,0,1,0,0,0,1,0,0,1,4,0,0,3,7.593182591752391,0.0,3.9334475711952006,0,188928,32711.11111111111,12,1068380,151422.0,15,183,0,0,0,0,0,1
ransomware,4,478293,0,0,0,0,0,0,1,1,1,1,7,0,0,1,7.734119050112312,5.006872044547959,6.301206603359361,73728,6086656,1717248.0,71292,6084226,1751743.0,12,416,0,0,0,0,0,0
ransomware,9,5328,352,0,0,1,0,1,1,1,0,1,8,0,0,4,7.94384934463394,0.0,3.874285195243945,0,303616,47843.55555555556,104,303496,51359.55555555556,4,135,0,0,1,0,0,1
ransomware,8,299951,33088,0,0,0,0,0,1,0,0,1,4,0,0,2,6.664443164570187,0.0203931352360849,4.752842788343587,512,443904,83520.0,9,443412,85177.25,6,156,0,0,0,0,0,1
ransomware,3,383758,34144,0,0,0,0,0,1,0,0,0,1,1,0,0,6.949507146364391,0.1019104256627077,3.468970421085104,512,375808,125781.33333333331,12,375572,125520.0,1,1,0,0,1,0,1,1
ransomware,6,367904,33088,1,0,1,1,0,1,1,0,1,9,0,0,2,6.496267590339248,0.0203931352360849,4.736161440284054,512,932352,329386.6666666667,4,932324,346129.1666666667,1,40,0,0,0,0,0,1
ransomware,11,251344,0,0,0,1,1,0,1,0,0,0,3,0,0,5,7.827818566900217,0.0,4.021893794933253,0,245760,31790.545454545456,20,245292,33873.27272727273,10,142,2,0,0,0,0,0
ransomware,5,6083,33088,0,0,0,0,0,1,0,0,1,4,0,0,1,5.97198013898813,0.3527594882157723,3.78798302096118,512,50176,11571.2,610,50176,11472.4,4,51,0,0,0,0,0,1
ransomware,4,18426,33024,0,0,0,0,0,0,0,1,1,4,0,0,2,6.716021288187415,1.3999876576400885,3.768923166829886,512,76800,42496.0,180,3585648,923166.0,3,96,0,0,0,0,0,1
ransomware,5,210941,33088,0,0,0,0,0,1,0,0,1,4,0,0,1,6.656678883301473,4.128691673731886,5.440646353283213,512,636928,165171.2,480,636474,166830.0,6,145,0,0,0,0,0,1
ransomware,6,4122661,0,0,1,0,0,0,1,0,1,1,4,0,0,3,7.950685924025157,0.0,1.636370501745129,0,4959744,826709.3333333334,2080,4959376,1320320.0,12,197,0,0,0,0,0,0
ransomware,5,95292,32832,0,0,0,0,0,0,0,1,1,4,1,0,1,6.616800871768468,2.4665873090898818,4.700493059944422,2048,99840,25497.6,2016,99832,26481.6,7,144,0,0,0,0,0,0
ransomware,11,4389,352,0,0,0,1,1,1,1,0,1,9,0,0,4,6.187206353423011,0.0,3.4320049398402133,0,1040384,113152.0,16,1039888,114730.18181818182,7,166,0,0,1,0,0,1
ransomware,4,35657,33024,0,0,0,0,0,1,0,0,1,6,0,0,1,6.67635964191854,1.688123578203304,3.8859384471192655,4608,91648,35072.0,7524,91554,35553.5,10,125,0,0,0,0,0,1
ransomware,3,84066,34144,0,0,0,0,0,0,0,0,0,0,1,0,0,4.921390459322553,0.1019104256627077,3.161802622817405,512,76288,26282.666666666668,12,75880,25921.0,1,1,0,0,1,0,1,1
ransomware,4,8752,0,0,0,0,0,0,1,0,1,0,2,1,0,1,6.652153067435993,3.24724023490534,4.861165645410559,512,94208,27264.0,472,93732,27078.75,4,72,0,0,0,0,0,0
ransomware,5,898966,33088,1,0,0,0,0,1,0,1,1,7,0,0,1,7.069451913852574,4.794046892657293,5.715042661088173,512,976896,264089.6,436,2148420,688518.0,5,142,0,0,0,0,0,1
ransomware,5,24851,33088,0,0,0,0,0,1,0,1,1,5,0,0,1,6.686025438395135,2.2218454442011284,5.054661578952468,512,68608,20889.6,480,68268,22925.6,3,79,0,0,0,0,0,1
ransomware,1,40736,33280,0,0,0,0,0,1,0,0,1,3,0,0,1,6.039901451337144,6.039901451337144,6.039901451337144,53760,53760,53760.0,53384,53384,53384.0,5,64,0,0,0,0,0,0
ransomware,5,76900,33088,0,0,0,0,0,1,0,1,1,5,0,0,1,6.716167958575302,4.49538310937128,5.614738196281296,512,160768,48332.8,480,160405,50427.0,7,130,0,0,0,0,0,1
ransomware,4,127314,0,0,0,0,0,0,0,0,1,1,4,1,0,1,7.113736170910589,3.783860925183115,5.604225280634994,8192,126976,87040.0,4940,166316,101383.5,14,138,0,0,0,0,0,0
ransomware,3,484366,34112,0,0,0,0,0,0,0,0,0,0,1,0,0,3.758279058218268,0.1019104256627077,2.5111623207368443,512,476672,159402.66666666666,12,476180,159046.66666666666,1,1,0,0,0,0,1,1
ransomware,8,1303648,0,0,1,0,0,0,1,0,0,1,3,0,0,5,6.718526677627389,0.0,3.764066034722715,0,1299968,203584.0,24,1299624,203936.125,18,430,0,0,0,0,0,0
ransomware,3,311282,34112,0,0,0,0,0,1,0,0,0,1,1,0,0,7.252528220849747,0.1019104256627077,3.8596202619727937,512,303616,101888.0,12,303215,101572.33333333331,1,1,0,0,0,0,1,1
ransomware,5,844032,33088,0,0,0,0,1,1,1,0,1,6,0,0,1,6.673880525624463,2.960480212359156,4.954439974073871,512,1112576,251084.8,480,1112527,252010.2,4,103,0,0,0,0,0,1
ransomware,3,22178,34144,0,0,0,0,0,1,0,0,0,1,0,0,0,5.512658652001438,0.0815394123432416,3.2135316872375115,512,14336,5461.333333333333,12,13992,5152.0,1,1,0,0,1,0,1,1
ransomware,3,533422,34144,0,1,0,0,0,1,1,1,0,4,0,0,0,7.987383691562536,0.1019104256627077,4.188547534342598,512,525312,249514.66666666663,12,525236,249272.0,1,1,0,0,1,0,1,1
ransomware,6,2904480,33120,1,0,1,1,0,1,0,1,1,8,0,0,2,6.884299884942742,4.642717197236677,5.673182047756203,35840,3195392,740352.0,41280,3195212,747085.0,9,247,0,0,1,0,0,1
ransomware,6,103535,33088,0,0,0,0,0,0,0,0,0,0,0,0,3,7.987062072368195,2.9337361310958805,5.941681253932265,1536,97792,24832.0,1170,97768,25294.166666666668,3,24,0,0,0,0,0,1
ransomware,7,580712,33120,1,0,0,0,1,1,1,0,1,5,0,0,3,6.4550271324585,3.3593583741679534,5.135333203333223,512,837120,154331.42857142858,348,836974,155268.0,9,155,0,0,1,0,0,1
ransomware,5,258438,33088,0,0,0,0,0,1,0,0,1,6,1,0,1,6.649011474860587,3.316619590046189,4.853916985449695,1536,535040,158617.6,1496,534604,159300.4,11,203,0,0,0,0,0,1
ransomware,4,4999,32768,0,0,0,0,0,1,1,0,1,5,0,0,1,6.628726282953873,4.347715118801012,5.630190572150671,6656,7979520,2039296.0,23740,7979024,2043241.5,4,125,0,0,0,0,0,0
ransomware,3,44622,34112,0,0,0,0,0,1,0,0,0,1,0,0,0,5.093655912792173,0.0815394123432416,3.392333532682576,512,36864,14506.666666666666,12,36436,14040.0,1,1,0,0,0,0,1,1
ransomware,6,103535,33088,0,0,0,0,0,0,0,0,0,0,0,0,3,7.985857352147319,3.0389614741823974,5.994611002313735,1536,97792,24832.0,1202,97606,25295.5,3,25,0,0,0,0,0,1
ransomware,5,43968,34112,0,0,1,1,0,1,0,0,0,3,0,0,1,5.628334268014781,0.1144633812591388,4.003178261757448,512,74752,15974.4,8,74281,15669.4,7,80,0,0,0,0,1,1
ransomware,4,24976,33088,0,0,0,1,0,1,0,0,1,6,0,0,1,6.68876794642307,2.317136796921517,4.930926431847604,2560,76800,38912.0,4884,76770,39361.0,6,105,0,0,0,0,0,1
ransomware,5,898966,33088,1,0,0,0,0,1,0,1,1,7,0,0,1,7.069451913852574,4.793715378591692,5.714976358275053,512,976896,264089.6,436,2148420,688518.0,5,142,0,0,0,0,0,1
ransomware,5,2049218,320,0,0,0,0,0,0,0,0,1,5,1,0,1,7.164489089032807,4.6162448043009965,5.702253701896708,22528,2229760,553984.0,40560,2229290,557249.6,15,599,0,0,0,0,0,1
ransomware,3,86400,33088,0,1,0,0,0,0,0,1,0,7,0,0,3,7.841458659455406,0.0,3.369135043737682,0,33792,11434.666666666666,4096,49152,30037.33333333333,3,6,0,0,0,0,0,1
ransomware,4,67459,33088,0,0,0,0,1,1,0,1,1,6,0,0,1,6.7102611213014045,4.599952057013542,5.894034356814275,4608,132608,45568.0,6084,132605,48335.75,8,131,10,0,0,0,0,1
ransomware,4,9697,33088,0,0,0,0,0,1,0,0,1,4,0,0,1,6.075674822837327,3.935950081258863,5.11573403241567,1024,8704,3968.0,784,8299,3882.75,16,96,0,0,0,0,0,1
ransomware,3,305854,34112,0,0,1,1,0,1,0,0,0,3,0,0,0,4.200251940111625,0.1019104256627077,1.9666106503915437,512,297984,117077.33333333331,12,297668,116773.33333333331,1,1,0,0,0,0,1,1
ransomware,17,5376,0,0,0,0,1,0,1,0,1,1,4,0,0,12,6.231263111774214,0.0,3.4306689476503816,0,462336,65264.94117647059,104,462248,65393.470588235294,3,151,0,0,0,0,0,0
ransomware,7,577624,33120,1,0,0,0,1,1,1,0,1,5,0,0,3,6.455672443789394,3.276079319742529,5.12861839358452,512,831488,153380.57142857142,348,831406,154329.7142857143,9,154,0,0,1,0,0,1
ransomware,9,5312,320,0,0,1,1,0,1,0,0,1,7,0,0,3,6.927866246789149,0.0,3.5699180129189605,0,2028544,341845.3333333333,8,2028140,341670.6666666667,14,210,0,0,0,0,0,1
ransomware,5,258438,33088,0,0,0,0,0,1,0,0,1,6,1,0,1,6.649011474860587,3.316619590046189,4.8538183516590525,1536,535040,158617.6,1496,534604,159300.4,11,203,0,0,0,0,0,1
ransomware,6,196484,33120,0,0,0,0,0,0,0,1,1,2,1,0,2,6.581983763917025,1.1598891939671787,5.00099243406951,3072,693248,167594.66666666666,2688,693229,171072.16666666666,18,530,0,0,1,0,0,1
ransomware,10,24288,16736,0,0,0,1,0,1,1,1,1,6,0,0,8,6.544654846138608,0.0,3.0838637463669576,512,275968,39526.4,53,275871,39407.0,0,0,0,1,1,0,0,1
ransomware,7,5587032,32832,0,1,0,0,0,0,0,1,0,2,0,0,6,7.9609216246549535,0.0,4.638260301580924,0,3270608,468662.0,12,5529600,1262066.2857142857,2,2,0,0,0,0,0,0
ransomware,7,94016,33088,0,0,0,0,1,1,1,0,1,7,0,0,2,6.69528465585362,0.0203931352360849,4.391984437306388,512,827904,158500.57142857142,9,827519,159132.0,6,167,0,0,0,0,0,1
ransomware,3,9579822,34112,0,0,1,1,0,1,0,0,0,3,0,0,0,3.738963945475265,0.1019104256627077,2.282006985865732,512,9571840,3191296.0,12,9571636,3190965.333333333,1,1,0,0,0,0,1,1
ransomware,6,68016,33088,0,0,1,0,0,1,0,1,1,6,0,0,2,7.311308878384575,0.1629900753047697,5.020917681061657,512,64000,17322.666666666668,16,63926,17281.666666666668,6,106,0,0,0,0,0,1
